No,Title,Artist,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,GENRE,KATEGORI EMOSI,Cover_url
1,Suket Teki,Didi Kempot,132,48,70,-12,86,4:39,55,Dangdut,sad,https://lh3.googleusercontent.com/u/0/d/1t1fSq4Bc3n1vx6slqHvoeVHevEBZu21D
2,Margaret (feat. Bleachers),Lana Del Rey,104,25,34,-13,19,5:40,97,Pop Indie,sad,https://lh3.googleusercontent.com/u/0/d/1ZKFn79i5EBViUNBowjsrLOivOTp2zA6T
3,Young And Beautiful,Lana Del Rey,114,42,32,-9,15,3:58,26,Pop Indie,sad,https://lh3.googleusercontent.com/u/0/d/1eFMPQP9h9pti1ZNerRmADn6kkXDd4d4U
4,to be with me,Nadhif Basalamah,100,39,66,-9,59,3:39,43,R&B,sad,https://lh3.googleusercontent.com/u/0/d/1t5f8g0hHiVB1oMhNjlIBZahXmGnkoSWB
5,That Should Be Me,Justin Bieber,140,60,55,-6,23,3:52,20,Pop,sad,https://lh3.googleusercontent.com/u/0/d/1mFaij1Q69SvIqNVBnud-Vs9lLlrszbHr
6,You'll Be in My Heart,NIKI,188,61,49,-9,63,4:03,6,R&B,relaxed,https://lh3.googleusercontent.com/u/0/d/1P9_egAO83BkSwHT4NYCF_w6XRb4a0UNh
7,Who Knows,Daniel Caesar,121,26,67,-15,39,3:46,76,R&B,sad,https://lh3.googleusercontent.com/u/0/d/1TEEICCyxqAPVDy2bZ8xHa-HadWxGwGXv
8,I Can Do It With a Broken Heart,Taylor Swift,130,75,70,-8,22,3:42,12,Pop,angry,https://lh3.googleusercontent.com/u/0/d/1UD2j_gFeLSqnpf8M-3amRNOyQinwcVnK
9,Fast Times,Sabrina Carpenter,132,67,72,-5,74,3:05,7,Pop,happy,https://lh3.googleusercontent.com/u/0/d/1ChZaGxmw425FmEbpw-7oSoqhhqus7ehB
10,Manot,Happy Asmara,125,61,73,-8,59,6:33,56,Pop Jawa,sad,https://lh3.googleusercontent.com/u/0/d/16IThyX01XEkFKwXgOs8gB14MvBSlIh_o
11,Negoro Angin,Denny Caknan,125,74,58,-6,48,5:07,35,Pop Jawa,sad,https://lh3.googleusercontent.com/u/0/d/1YqcQgd5nEiRZO9GSftXBGq1TTDC2Xlxa
12,Sanes,Guyon Waton,130,64,61,-9,54,5:41,18,Pop Jawa,sad,https://lh3.googleusercontent.com/u/0/d/1AU023fuwo0ZZTQW4S-WTjsEtiCKoPdRw
13,Sang Dewi,Lyodra,82,58,34,-5,32,4:08,55,Pop,relaxed,https://lh3.googleusercontent.com/u/0/d/1KK0kBdxlzUz5FEdVQvQlEbg-kXrIQOdB
14,Tanjung Mas Ninggal Janji,Denny Caknan,131,77,41,-6,45,5:09,21,Pop Jawa,sad,https://lh3.googleusercontent.com/u/0/d/1LmtvVsVyJ_ygIxWtkBR2vsqwmhZRDFeN
15,My Heart,Acha Septriasa,89,37,39,-9,12,4:29,56,Pop,sad,https://lh3.googleusercontent.com/u/0/d/1ZhV2CrY597UW2dUPrzZv3u8Q1AZPrO5W
16,Sumpah Dan Cinta Matiku,Nidji,147,50,36,-8,13,6:11,73,Rock,sad,https://lh3.googleusercontent.com/u/0/d/1gNvY-CfhclXI0NaHPo0bDyG0OeSX0p3U
17,Mangu,Fourtwnty,94,33,53,-8,18,4:22,60,Pop Indo,sad,https://lh3.googleusercontent.com/u/0/d/1ioWgTVkV9EOP-gqsDTq8B8adOeC6XqcM
18,"Bercinta Lewat Kata - From ""Jatuh Cinta Seperti di Film-Film""",Donne Maula,120,30,60,-12,37,2:50,92,Dangdut,relaxed,https://lh3.googleusercontent.com/u/0/d/1osMkiillFBmSHFHH2eRBP9hEP1s0UESD
19,Apakah Itu Cinta,Ipank,100,57,52,-6,34,5:59,35,Pop,relaxed,https://lh3.googleusercontent.com/u/0/d/1eJjd0iipBVoEoahnr3RPfa95ELEVlnVa
20,Berona,Rizky Febian,95,66,67,-8,71,3:21,9,Pop,relaxed,https://lh3.googleusercontent.com/u/0/d/1bJcC7Gqz0-md6ynwHUejnpiRAzOACF9i
21,Roses,The Chainsmokers,100,80,71,-7,34,3:50,4,Electronic,happy,https://lh3.googleusercontent.com/u/0/d/1cE4DJXd-EOuRTsLIo7rFIZX5s7esc6He
22,Khayalan,Hivi!,130,85,68,-7,53,4:38,7,Pop,happy,https://lh3.googleusercontent.com/u/0/d/1ZqvuNqI68-tDyLLsAtoTnT1mUf8pWOXw
23,Khayalan Tingkat Tinggi,Noah,140,89,48,-6,69,3:24,3,Rock,happy,https://lh3.googleusercontent.com/u/0/d/1FFL9Mr32FTmp7Esgu_rmGPkm40JXEbX0
24,Dalan Liyane,Guyon Waton,130,54,72,-7,64,4:20,78,Pop Jawa,sad,https://lh3.googleusercontent.com/u/0/d/1GAqNVmcOjmd3CNwJhShPkJqDk6_95elY
25,Terakhir Kali,Wijaya 80,132,69,55,-4,32,4:51,19,Pop Indo,sad,https://lh3.googleusercontent.com/u/0/d/1VpikHmBWgDlPEs-wpEjMtdvEQfPYe-dG
26,Terbuang Dalam Waktu,Barasuara,102,69,20,-5,26,5:30,4,Rock,sad,https://lh3.googleusercontent.com/u/0/d/1dH6LOxbo_8GDj52fkvtRAiFWKNNzOm9o
